fasta_name,accession
D/swine/Ohio/18TOSU0287/2018|USA|2018-05-26,PX498801.1
D/swine/Georgia/20TOSU0209/2020|USA|2020-01-25,PX498808.1
D/bovine/Mexico/USL0008_MX/2024|Mexico|2024-02-14,PX485344.1
D/bovine/Mexico/USL0009_MX/2024|Mexico|2024-02-14,PX485351.1
D/bovine/Kentucky/USL0010_KY/2024|USA|2024-05-06,PX485358.1
D/bovine/Mexico/USL0010_MX/2024|Mexico|2024-02-14,PX485365.1
D/bovine/Kentucky/USL0011_KY/2024|USA|2024-05-06,PX485370.1
D/bovine/Mexico/USL0026_MX/2024|Mexico|2024-02-15,PX485378.1
D/bovine/Mexico/USL0033_MX/2024|Mexico|2024-02-15,PX485385.1
D/bovine/Kentucky/USL0097_KY/2024|USA|2024-08-14,PX485391.1
D/bovine/Texas/USL152_TX/2024|USA|2024-12-17,PX485398.1
D/bovine/Texas/USL160_TX/2024|USA|2024-12-17,PX485405.1
D/bovine/Texas/USL166_TX/2024|USA|2024-12-17,PX485412.1
D/bovine/Texas/USL173_TX/2024|USA|2024-12-17,PX485419.1
D/bovine/Texas/USL179_TX/2024|USA|2024-12-17,PX485426.1
D/bovine/Texas/USL180_TX/2024|USA|2024-12-17,PX485433.1
D/bovine/Texas/USL181_TX/2024|USA|2024-12-17,PX485440.1
D/bovine/Texas/USL186_TX/2024|USA|2024-12-17,PX485447.1
D/bovine/Texas/USL189_TX/2024|USA|2024-12-17,PX485454.1
D/bovine/Texas/USL194_TX/2024|USA|2024-12-17,PX485460.1
D/bovine/Texas/USL198_TX/2024|USA|2024-12-17,PX485467.1
D/bovine/Kentucky/USL0218_KY/2024|USA|2024-12-11,PX485474.1
D/bovine/Kentucky/USL0219_KY/2024|USA|2024-12-11,PX485481.1
D/bovine/Kentucky/USL0220_KY/2024|USA|2024-12-11,PX485488.1
D/bovine/Kentucky/USL0271_KY/2024|USA|2024-05-13,PX485495.1
D/bovine/Hebei/HBSJZ1/2024|China|2024,PX313700.1
D/swine/France/150445/2015|France|2015,PP417775.1
D/bovine/Nebraska/9-5/2012|USA|2012-01-31,PP417780.1
D/bovine/CHN/JY3002/2022|China|2022-10-20,OR685127.1
D/bovine/CHN/JY3097/2022|China|2022-11-14,OR685134.1
D/bovine/Sweden/SVA210121SZ0271-KN000300-F/2021|Sweden|2021-01-21,PQ596309.1
D/bovine/Sweden/SVA210122SZ0073-KN000334-F3/2021|Sweden|2021-01-20,PQ596316.1
D/bovine/Sweden/SVA210122SZ0094-KN000338-F3/2021|Sweden|2021-01-20,PQ596323.1
D/bovine/Sweden/SVA210226SZ0333-KN000388-F3/2021|Sweden|2021-02-25,PQ596330.1
D/bovine/Sweden/SVA210226SZ0333-KN001034-F3/2021|Sweden|2021-02-25,PQ596337.1
D/bovine/Sweden/SVA210407SZ0515-KN000384-F7/2021|Sweden|2021-04-06,PQ596344.1
D/bovine/Sweden/SVA210407SZ0515-KN002385-F7/2021|Sweden|2021-04-06,PQ596351.1
D/bovine/Sweden/SVA231027SZ0086-FB248425-F8/2023|Sweden|2023-01-25,PQ596358.1
D/bovine/Sweden/SVA231027SZ0086-FB248426-F8/2023|Sweden|2023-01-25,PQ596365.1
D/bovine/Sweden/SVA231027SZ0086-FB248428-F8/2023|Sweden|2023-10-25,PQ596372.1
D/bovine/Sweden/SVA231214SZ0296-FB004661-F9/2023|Sweden|2023-12-11,PQ596379.1
D/bovine/Sweden/SVA240126SZ0148-FB000265-_F10/2024|Sweden|2024-01-24,PQ596386.1
D/bovine/Sweden/SVA240126SZ0148-FB000267-_F10/2024|Sweden|2024-01-24,PQ596393.1
D/bovine/Sweden/SVA240130SZ0031-FB019676-_F11/2024|Sweden|2024-01-30,PQ596400.1
D/bovine/Sweden/SVA240214SZ0154-FB000557-_F12/2024|Sweden|2024-02-12,PQ596407.1
D/bovine/Sweden/SVA240301SZ0169-FB001897-_F13/2024|Sweden|2024-03-01,PQ596414.1
